172.70.174.54,1639705461
172.70.34.34,1639705462
108.162.229.239,1639705462
108.162.249.17,1639705462
172.70.135.17,1639705463
172.70.38.97,1639705464
172.70.114.132,1639705465
172.70.34.68,1639705466
108.162.250.242,1639705466
162.158.2.37,1639705467
162.158.62.236,1639705467
172.70.34.117,1639705472
162.158.106.33,1639705472
172.70.110.86,1639705472
172.70.34.58,1639705472
172.70.174.22,1639705473
172.70.110.93,1639705473
172.70.135.12,1639705475
172.70.83.5,1639705476
162.158.106.141,1639705477
172.68.86.17,1639705477
172.70.35.37,1639705478
172.70.114.151,1639705478
172.70.38.71,1639705478
162.158.106.161,1639705479
108.162.219.44,1639705480
172.70.114.19,1639705481
172.70.34.118,1639705482
162.158.2.201,1639705483
108.162.219.162,1639705484
162.158.183.167,1639705484
162.158.2.31,1639705484
108.162.219.108,1639705485
172.70.110.171,1639705485
172.70.175.25,1639705486
108.162.229.226,1639705486
172.70.38.61,1639705488
172.70.134.122,1639705488
172.70.34.199,1639705488
172.70.110.167,1639705488
162.158.183.153,1639705489
172.70.34.150,1639705490
162.158.2.39,1639705490
